Time,Power (%)
10:10:00,0.9002802508
10:15:00,0.8603405541
10:20:00,0.9342450106
10:25:00,0.9100147411
10:30:00,0.8403245056
10:35:00,0.9285567834
10:40:00,0.9608072616
10:45:00,0.8690256774
10:50:00,0.8158302382
10:55:00,0.9353490164
11:00:00,0.9786149067
11:05:00,0.9545523886
11:10:00,0.8188328597
11:15:00,0.843499865
11:20:00,0.9254923756
11:25:00,0.9509657282
11:30:00,0.9353248848
11:35:00,0.8448032672
11:40:00,0.9371622004
11:45:00,0.8332161768
11:50:00,0.8027283037
11:55:00,0.8410165872
12:00:00,0.9429628352
12:05:00,0.822433476
12:10:00,0.9546923164
12:15:00,0.9556583236
12:20:00,0.8804363472
12:25:00,0.9339598181
12:30:00,0.8881528925
12:35:00,0.9119831728
12:40:00,0.8941714227
12:45:00,0.9099004515
12:50:00,0.8131491688
12:55:00,0.9946440059
13:00:00,0.8478027826
13:05:00,0.8430691587
13:10:00,0.9198194807
13:15:00,0.9217555542
13:20:00,0.8377045005
13:25:00,0.9131493135
13:30:00,0.8349995185
13:35:00,0.9525029126
13:40:00,0.8136812252
13:45:00,0.9701576623
13:50:00,0.9691088104
13:55:00,0.8616472921
14:00:00,0.8233295874
14:05:00,0.9059978358
14:10:00,0.824322078
14:15:00,0.8615744538
14:20:00,0.9031481636
14:25:00,0.8787013723
14:30:00,0.9399872288
14:35:00,0.9241743432
14:40:00,0.9272682706
14:45:00,0.9767343937
14:50:00,0.9342712427
14:55:00,0.9619475246
15:00:00,0.8691185334
15:05:00,0.8446036132
15:10:00,0.9308985255
15:15:00,0.884683716
15:20:00,0.9415312073
15:25:00,0.9594297813
15:30:00,0.8499779484
15:35:00,0.9480830868
15:40:00,0.8605981458
15:45:00,0.9212728843
15:50:00,0.8661014631
15:55:00,0.8070982917
16:00:00,0.8494395145
16:05:00,0.8959472541
16:10:00,0.9989558753
16:15:00,0.8023610607
16:20:00,0.9369391625
16:25:00,0.8629259417
16:30:00,0.8787842211
16:35:00,0.8029593428
16:40:00,0.9279199161
16:45:00,0.9332090435
16:50:00,0.9934022184
16:55:00,0.9582370111
17:00:00,0.9167686783
17:05:00,0.9451514397
17:10:00,0.8178413756
17:15:00,0.9480326901
17:20:00,0.9200633895
17:25:00,0.9196098716
17:30:00,0.9148288723
17:35:00,0.8517172043
17:40:00,0.8034231229
17:45:00,0.8747263847
17:50:00,0.9417750993
17:55:00,0.8099869238
18:00:00,0.9842080994
18:05:00,0.919264519
18:10:00,0.9094123426
18:15:00,0.9031696892
18:20:00,0.900804989
18:25:00,0.8516756283
18:30:00,0.9031152305
18:35:00,0.8379139419
18:40:00,0.8584962873
18:45:00,0.8958527968
18:50:00,0.8732345286
18:55:00,0.9535205407
19:00:00,0.8602230443
19:05:00,0.9540525287
19:10:00,0.9504904747
19:15:00,0.9447455904
19:20:00,0.9397662305
19:25:00,0.9075197744
19:30:00,0.9147952448
19:35:00,0.995626053
19:40:00,0.9296019885
19:45:00,0.9224796694
19:50:00,0.8930678472
19:55:00,0.9791704787
20:00:00,0.8333873248
20:05:00,0.8723219482
20:10:00,0.8171297436
20:15:00,0.9679050772
20:20:00,0.9698003447
20:25:00,0.9612645751
20:30:00,0.9313432018
20:35:00,0.8313611416
20:40:00,0.9204944628
20:45:00,0.869337219
20:50:00,0.9227058532
20:55:00,0.9130815736
21:00:00,0.9496553798
21:05:00,0.8979516912
21:10:00,0.8461002239
21:15:00,0.9188269133
21:20:00,0.8838541366
21:25:00,0.9634459985
21:30:00,0.9234664854
21:35:00,0.9156375994
21:40:00,0.9594450286
21:45:00,0.8850861801
21:50:00,0.9831562227
21:55:00,0.8763913246
22:00:00,0.9475879014
22:05:00,0.9326903989
22:10:00,0.9914629621
22:15:00,0.886051424
22:20:00,0.8947855918
22:25:00,0.8039770205
22:30:00,0.8661229309
22:35:00,0.9857472793
22:40:00,0.9588932955
22:45:00,0.9590262267
22:50:00,0.8966514838
22:55:00,0.8125676475
23:00:00,0.9967703405
23:05:00,0.954086012
23:10:00,0.8778195603
23:15:00,0.972987599
23:20:00,0.9852695413
23:25:00,0.8814318609
23:30:00,0.9982394182
23:35:00,0.8459305102
23:40:00,0.8543229671
23:45:00,0.8984508413
23:50:00,0.8128214138
23:55:00,0.9895216006
